CMDLINE /Users/wujinzhou/anaconda3/bin/python spimi.py
MEM 114.882812 1616134575.4637
MEM 114.882812 1616134575.5673
MEM 114.898438 1616134575.6715
MEM 114.898438 1616134575.7763
MEM 114.914062 1616134575.8806
MEM 114.914062 1616134575.9850
MEM 114.914062 1616134576.0895
MEM 114.914062 1616134576.1942
MEM 114.945312 1616134576.2970
MEM 114.945312 1616134576.4016
MEM 114.945312 1616134576.5025
MEM 115.187500 1616134576.6056
MEM 117.027344 1616134576.7094
MEM 114.652344 1616134576.8115
MEM 114.652344 1616134576.9143
MEM 114.652344 1616134577.0190
MEM 114.652344 1616134577.1229
MEM 114.652344 1616134577.2240
MEM 114.652344 1616134577.3274
MEM 114.652344 1616134577.4304
MEM 114.652344 1616134577.5310
MEM 114.652344 1616134577.6340
MEM 114.652344 1616134577.7383
MEM 114.652344 1616134577.8412
MEM 114.652344 1616134577.9444
MEM 114.652344 1616134578.0480
MEM 114.652344 1616134578.1491
MEM 114.652344 1616134578.2525
MEM 114.652344 1616134578.3569
MEM 114.652344 1616134578.4572
MEM 114.652344 1616134578.5596
MEM 114.652344 1616134578.6637
MEM 114.652344 1616134578.7656
MEM 114.652344 1616134578.8690
MEM 114.652344 1616134578.9725
MEM 114.652344 1616134579.0742
MEM 114.652344 1616134579.1780
MEM 114.652344 1616134579.2784
MEM 114.441406 1616134579.3820
MEM 114.441406 1616134579.4825
MEM 114.441406 1616134579.5837
MEM 114.441406 1616134579.6886
MEM 114.441406 1616134579.7930
MEM 114.441406 1616134579.8976
MEM 114.441406 1616134580.0025
MEM 114.441406 1616134580.1075
MEM 114.441406 1616134580.2117
MEM 114.441406 1616134580.3119
MEM 114.441406 1616134580.4125
MEM 114.441406 1616134580.5153
MEM 114.441406 1616134580.6190
MEM 114.441406 1616134580.7229
MEM 114.484375 1616134580.8242
MEM 114.496094 1616134580.9283
MEM 114.496094 1616134581.0326
MEM 114.496094 1616134581.1338
MEM 114.496094 1616134581.2351
MEM 114.496094 1616134581.3392
MEM 114.496094 1616134581.4393
MEM 114.496094 1616134581.5424
MEM 114.496094 1616134581.6446
MEM 114.496094 1616134581.7480
MEM 114.500000 1616134581.8525
MEM 114.500000 1616134581.9559
MEM 114.500000 1616134582.0564
MEM 114.500000 1616134582.1593
MEM 114.500000 1616134582.2596
MEM 114.500000 1616134582.3637
MEM 114.500000 1616134582.4658
MEM 114.500000 1616134582.5695
MEM 114.500000 1616134582.6700
MEM 114.500000 1616134582.7709
MEM 114.500000 1616134582.8760
MEM 114.500000 1616134582.9788
MEM 114.500000 1616134583.0810
MEM 114.500000 1616134583.1834
MEM 114.500000 1616134583.2842
MEM 114.500000 1616134583.3844
MEM 114.500000 1616134583.4891
MEM 114.500000 1616134583.5923
MEM 114.500000 1616134583.6926
MEM 114.500000 1616134583.7974
MEM 114.500000 1616134583.9023
MEM 114.500000 1616134584.0070
MEM 114.500000 1616134584.1082
MEM 114.500000 1616134584.2110
MEM 114.500000 1616134584.3142
MEM 114.500000 1616134584.4190
MEM 114.500000 1616134584.5224
MEM 114.500000 1616134584.6234
MEM 116.023438 1616134584.7274
MEM 111.968750 1616134584.8335
MEM 111.968750 1616134584.9375
MEM 111.582031 1616134585.0412
MEM 110.132812 1616134585.1478
